# redshift, dNdz, bias
5.100000000000000366e-02 1.311908711961453662e+02 1.500000000000000000e+00
5.200000000000000455e-02 1.359857388882423379e+02 1.500000000000000000e+00
5.299999999999999850e-02 1.408516151864931203e+02 1.500000000000000000e+00
5.399999999999999939e-02 1.457877475915031198e+02 1.500000000000000000e+00
5.500000000000000028e-02 1.507933882734711517e+02 1.500000000000000000e+00
5.600000000000000117e-02 1.558677940487245905e+02 1.500000000000000000e+00
5.700000000000000205e-02 1.610102263563598513e+02 1.500000000000000000e+00
5.800000000000000294e-02 1.662199512349866950e+02 1.500000000000000000e+00
5.900000000000000383e-02 1.714962392995770983e+02 1.500000000000000000e+00
5.999999999999999778e-02 1.768383657184178617e+02 1.500000000000000000e+00
6.099999999999999867e-02 1.822456101901659906e+02 1.500000000000000000e+00
6.199999999999999956e-02 1.877172569210073618e+02 1.500000000000000000e+00
6.300000000000000044e-02 1.932525946019172807e+02 1.500000000000000000e+00
6.400000000000000133e-02 1.988509163860234992e+02 1.500000000000000000e+00
6.500000000000000222e-02 2.045115198660703868e+02 1.500000000000000000e+00
6.600000000000000311e-02 2.102337070519842541e+02 1.500000000000000000e+00
6.700000000000000400e-02 2.160167843485395167e+02 1.500000000000000000e+00
6.800000000000000488e-02 2.218600625331248750e+02 1.500000000000000000e+00
6.900000000000000577e-02 2.277628567336097376e+02 1.500000000000000000e+00
7.000000000000000666e-02 2.337244864063092109e+02 1.500000000000000000e+00
7.100000000000000755e-02 2.397442753140496166e+02 1.500000000000000000e+00
7.200000000000000844e-02 2.458215515043306993e+02 1.500000000000000000e+00
7.299999999999999545e-02 2.519556472875875670e+02 1.500000000000000000e+00
7.399999999999999634e-02 2.581458992155499459e+02 1.500000000000000000e+00
7.499999999999999722e-02 2.643916480596983547e+02 1.500000000000000000e+00
7.599999999999999811e-02 2.706922387898175089e+02 1.500000000000000000e+00
7.699999999999999900e-02 2.770470205526470409e+02 1.500000000000000000e+00
7.799999999999999989e-02 2.834553466506270070e+02 1.500000000000000000e+00
7.900000000000000078e-02 2.899165745207400278e+02 1.500000000000000000e+00
8.000000000000000167e-02 2.964300657134492099e+02 1.500000000000000000e+00
8.100000000000000255e-02 3.029951858717292339e+02 1.500000000000000000e+00
8.200000000000000344e-02 3.096113047101947018e+02 1.500000000000000000e+00
8.300000000000000433e-02 3.162777959943197175e+02 1.500000000000000000e+00
8.400000000000000522e-02 3.229940375197539311e+02 1.500000000000000000e+00
8.500000000000000611e-02 3.297594110917295893e+02 1.500000000000000000e+00
8.600000000000000699e-02 3.365733025045636850e+02 1.500000000000000000e+00
8.700000000000000788e-02 3.434351015212512834e+02 1.500000000000000000e+00
8.799999999999999489e-02 3.503442018531513327e+02 1.500000000000000000e+00
8.899999999999999578e-02 3.573000011397652429e+02 1.500000000000000000e+00
8.999999999999999667e-02 3.643019009286048231e+02 1.500000000000000000e+00
9.099999999999999756e-02 3.713493066551545780e+02 1.500000000000000000e+00
9.199999999999999845e-02 3.784416276229206915e+02 1.500000000000000000e+00
9.299999999999999933e-02 3.855782769835737440e+02 1.500000000000000000e+00
9.400000000000000022e-02 3.927586717171797659e+02 1.500000000000000000e+00
9.500000000000000111e-02 3.999822326125205336e+02 1.500000000000000000e+00
9.600000000000000200e-02 4.072483842475041342e+02 1.500000000000000000e+00
9.700000000000000289e-02 4.145565549696631251e+02 1.500000000000000000e+00
9.800000000000000377e-02 4.219061768767429612e+02 1.500000000000000000e+00
9.900000000000000466e-02 4.292966857973758010e+02 1.500000000000000000e+00
1.000000000000000056e-01 4.367275212718444664e+02 1.500000000000000000e+00
1.010000000000000064e-01 4.441981265329328039e+02 1.500000000000000000e+00
1.020000000000000073e-01 4.517079484868624490e+02 1.500000000000000000e+00
1.030000000000000082e-01 4.592564376943165598e+02 1.500000000000000000e+00
1.040000000000000091e-01 4.668430483515512037e+02 1.500000000000000000e+00
1.049999999999999961e-01 4.744672382715892809e+02 1.500000000000000000e+00
1.059999999999999970e-01 4.821284688655040327e+02 1.500000000000000000e+00
1.069999999999999979e-01 4.898262051237845185e+02 1.500000000000000000e+00
1.079999999999999988e-01 4.975599155977868691e+02 1.500000000000000000e+00
1.089999999999999997e-01 5.053290723812710894e+02 1.500000000000000000e+00
1.100000000000000006e-01 5.131331510920201708e+02 1.500000000000000000e+00
1.110000000000000014e-01 5.209716308535439566e+02 1.500000000000000000e+00
1.120000000000000023e-01 5.288439942768668516e+02 1.500000000000000000e+00
1.130000000000000032e-01 5.367497274423967610e+02 1.500000000000000000e+00
1.140000000000000041e-01 5.446883198818782148e+02 1.500000000000000000e+00
1.150000000000000050e-01 5.526592645604284826e+02 1.500000000000000000e+00
1.160000000000000059e-01 5.606620578586530428e+02 1.500000000000000000e+00
1.170000000000000068e-01 5.686961995548451796e+02 1.500000000000000000e+00
1.180000000000000077e-01 5.767611928072660703e+02 1.500000000000000000e+00
1.190000000000000085e-01 5.848565441365051356e+02 1.500000000000000000e+00
1.199999999999999956e-01 5.929817634079223581e+02 1.500000000000000000e+00
1.209999999999999964e-01 6.011363638141693855e+02 1.500000000000000000e+00
1.219999999999999973e-01 6.093198618577915795e+02 1.500000000000000000e+00
1.229999999999999982e-01 6.175317773339098721e+02 1.500000000000000000e+00
1.239999999999999991e-01 6.257716333129801569e+02 1.500000000000000000e+00
1.250000000000000000e-01 6.340389561236346481e+02 1.500000000000000000e+00
1.260000000000000009e-01 6.423332753355979321e+02 1.500000000000000000e+00
1.270000000000000018e-01 6.506541237426853286e+02 1.500000000000000000e+00
1.280000000000000027e-01 6.590010373458761705e+02 1.500000000000000000e+00
1.290000000000000036e-01 6.673735553364655289e+02 1.500000000000000000e+00
1.300000000000000044e-01 6.757712200792944941e+02 1.500000000000000000e+00
1.310000000000000053e-01 6.841935770960557193e+02 1.500000000000000000e+00
1.320000000000000062e-01 6.926401750486754736e+02 1.500000000000000000e+00
1.330000000000000071e-01 7.011105657227745951e+02 1.500000000000000000e+00
1.340000000000000080e-01 7.096043040112025437e+02 1.500000000000000000e+00
1.350000000000000089e-01 7.181209478976472838e+02 1.500000000000000000e+00
1.360000000000000098e-01 7.266600584403230414e+02 1.500000000000000000e+00
1.370000000000000107e-01 7.352211997557302539e+02 1.500000000000000000e+00
1.380000000000000115e-01 7.438039390024925979e+02 1.500000000000000000e+00
1.390000000000000124e-01 7.524078463652651863e+02 1.500000000000000000e+00
1.400000000000000133e-01 7.610324950387217768e+02 1.500000000000000000e+00
1.410000000000000142e-01 7.696774612116096250e+02 1.500000000000000000e+00
1.420000000000000151e-01 7.783423240508835761e+02 1.500000000000000000e+00
1.430000000000000160e-01 7.870266656859088243e+02 1.500000000000000000e+00
1.440000000000000169e-01 7.957300711927400698e+02 1.500000000000000000e+00
1.449999999999999900e-01 8.044521285784700240e+02 1.500000000000000000e+00
1.459999999999999909e-01 8.131924287656529486e+02 1.500000000000000000e+00
