# k power
4.630902801799736631e-04 9.132768835359502191e+03
4.684580115873045137e-04 9.232445673725576853e+03
4.738879609717650920e-04 9.333171242512564277e+03
4.793808495089107069e-04 9.434955557636858430e+03
4.849374067335233355e-04 9.537808712053480122e+03
4.905583706365045484e-04 9.641740875947883978e+03
4.962444877628913436e-04 9.746762297207582378e+03
5.019965133110079530e-04 9.852883301378933538e+03
5.078152112327670659e-04 9.960114291688179947e+03
5.137013543351339135e-04 1.006846575327836581e+04
5.196557243827657369e-04 1.017794822500484588e+04
5.256791122018419265e-04 1.028857218185095007e+04
5.317723177850966487e-04 1.040034805385690561e+04
5.379361503980697925e-04 1.051328634507019706e+04
5.441714286865887004e-04 1.062739762396906735e+04
5.504789807854967333e-04 1.074269252632114876e+04
5.568596444286409188e-04 1.085918175477606201e+04
5.633142670601351629e-04 1.097687607857045259e+04
5.698437059469136636e-04 1.109578633352135512e+04
5.764488282925873171e-04 1.121592342181644563e+04
5.831305113526218760e-04 1.133729831186787123e+04
5.898896425508493501e-04 1.145992203812960361e+04
5.967271195973310833e-04 1.158380570090653237e+04
6.036438506075863814e-04 1.170896046614874285e+04
6.106407542232036075e-04 1.183539756523258256e+04
6.177187597338488134e-04 1.196312829472712474e+04
6.248788072006888211e-04 1.209216401614634378e+04
6.321218475812448011e-04 1.222251615568652051e+04
6.394488428556943443e-04 1.235419620394864069e+04
6.468607661546327617e-04 1.248721571564719852e+04
6.543586018883235361e-04 1.262158630930060463e+04
6.619433458774394430e-04 1.275731966690978697e+04
6.696160054853222054e-04 1.289442753361852920e+04
6.773775997517752102e-04 1.303292171735228658e+04
6.852291595284064167e-04 1.317281408847703096e+04
6.931717276155407569e-04 1.331411657930479305e+04
7.012063589007183975e-04 1.345684118397980455e+04
7.093341204987996815e-04 1.360099995750683593e+04
7.175560918936927952e-04 1.374660501552428832e+04
7.258733650817253023e-04 1.389366849442812054e+04
7.342870447166765678e-04 1.404220222281630413e+04
7.427982482564917787e-04 1.419221789019760035e+04
7.514081061116969704e-04 1.434372721447279582e+04
7.601177617955330547e-04 1.449674194686765441e+04
7.689283720758312941e-04 1.465127386898232180e+04
